date,location,latitude,longitude,tmax,tmin,rainfall_mm,cloud_amt,data_source,state,region
2015-01-01,Agartala,23.8315,91.2868,24.05,16.99,0.21,99.56,NASA_POWER,Tripura,Northeast
2015-01-02,Agartala,23.8315,91.2868,29.04,17.49,0.01,63.24,NASA_POWER,Tripura,Northeast
2015-01-03,Agartala,23.8315,91.2868,29.31,19.49,0.06,69.44,NASA_POWER,Tripura,Northeast
2015-01-04,Agartala,23.8315,91.2868,27.67,17.59,1.26,71.37,NASA_POWER,Tripura,Northeast
2015-01-05,Agartala,23.8315,91.2868,26.03,15.16,0.06,31.76,NASA_POWER,Tripura,Northeast
2015-01-06,Agartala,23.8315,91.2868,24.55,13.22,0.0,1.94,NASA_POWER,Tripura,Northeast
2015-01-07,Agartala,23.8315,91.2868,23.47,12.08,0.0,21.57,NASA_POWER,Tripura,Northeast
2015-01-08,Agartala,23.8315,91.2868,24.04,13.35,0.0,22.99,NASA_POWER,Tripura,Northeast
2015-01-09,Agartala,23.8315,91.2868,24.36,11.84,0.01,44.62,NASA_POWER,Tripura,Northeast
2015-01-10,Agartala,23.8315,91.2868,24.39,11.09,0.0,10.86,NASA_POWER,Tripura,Northeast
2015-01-11,Agartala,23.8315,91.2868,24.79,11.44,0.0,74.6,NASA_POWER,Tripura,Northeast
2015-01-12,Agartala,23.8315,91.2868,25.96,10.94,0.0,63.34,NASA_POWER,Tripura,Northeast
2015-01-13,Agartala,23.8315,91.2868,27.41,12.67,0.0,67.66,NASA_POWER,Tripura,Northeast
2015-01-14,Agartala,23.8315,91.2868,27.82,14.48,0.0,25.52,NASA_POWER,Tripura,Northeast
2015-01-15,Agartala,23.8315,91.2868,28.47,15.64,0.0,13.01,NASA_POWER,Tripura,Northeast
2015-01-16,Agartala,23.8315,91.2868,28.07,13.36,0.0,40.89,NASA_POWER,Tripura,Northeast
2015-01-17,Agartala,23.8315,91.2868,28.27,14.64,2.76,52.85,NASA_POWER,Tripura,Northeast
2015-01-18,Agartala,23.8315,91.2868,24.95,11.87,0.13,70.01,NASA_POWER,Tripura,Northeast
2015-01-19,Agartala,23.8315,91.2868,25.02,11.87,0.0,96.55,NASA_POWER,Tripura,Northeast
2015-01-20,Agartala,23.8315,91.2868,25.9,11.27,0.0,69.55,NASA_POWER,Tripura,Northeast
2015-01-21,Agartala,23.8315,91.2868,27.23,11.78,0.0,50.14,NASA_POWER,Tripura,Northeast
2015-01-22,Agartala,23.8315,91.2868,27.37,13.0,0.0,33.04,NASA_POWER,Tripura,Northeast
2015-01-23,Agartala,23.8315,91.2868,26.83,13.2,0.0,7.21,NASA_POWER,Tripura,Northeast
2015-01-24,Agartala,23.8315,91.2868,27.55,12.52,0.0,5.02,NASA_POWER,Tripura,Northeast
2015-01-25,Agartala,23.8315,91.2868,26.97,13.06,0.0,2.56,NASA_POWER,Tripura,Northeast
2015-01-26,Agartala,23.8315,91.2868,27.15,11.9,0.0,4.96,NASA_POWER,Tripura,Northeast
2015-01-27,Agartala,23.8315,91.2868,28.06,14.27,0.0,1.7,NASA_POWER,Tripura,Northeast
2015-01-28,Agartala,23.8315,91.2868,29.33,15.73,0.0,1.48,NASA_POWER,Tripura,Northeast
2015-01-29,Agartala,23.8315,91.2868,29.18,14.45,0.0,9.09,NASA_POWER,Tripura,Northeast
2015-01-30,Agartala,23.8315,91.2868,26.77,13.8,0.0,54.84,NASA_POWER,Tripura,Northeast
2015-01-31,Agartala,23.8315,91.2868,24.23,10.73,0.0,7.46,NASA_POWER,Tripura,Northeast
2015-02-01,Agartala,23.8315,91.2868,25.16,9.64,0.0,1.31,NASA_POWER,Tripura,Northeast
2015-02-02,Agartala,23.8315,91.2868,27.03,10.88,0.0,0.58,NASA_POWER,Tripura,Northeast
2015-02-03,Agartala,23.8315,91.2868,28.9,13.92,0.0,4.51,NASA_POWER,Tripura,Northeast
2015-02-04,Agartala,23.8315,91.2868,29.38,14.6,0.0,24.26,NASA_POWER,Tripura,Northeast
2015-02-05,Agartala,23.8315,91.2868,29.4,16.51,0.0,63.52,NASA_POWER,Tripura,Northeast
2015-02-06,Agartala,23.8315,91.2868,28.04,14.42,0.0,68.47,NASA_POWER,Tripura,Northeast
2015-02-07,Agartala,23.8315,91.2868,26.02,13.27,0.0,86.16,NASA_POWER,Tripura,Northeast
2015-02-08,Agartala,23.8315,91.2868,27.12,13.65,0.0,61.77,NASA_POWER,Tripura,Northeast
2015-02-09,Agartala,23.8315,91.2868,27.45,15.18,0.0,45.78,NASA_POWER,Tripura,Northeast
2015-02-10,Agartala,23.8315,91.2868,29.3,17.2,0.0,89.81,NASA_POWER,Tripura,Northeast
2015-02-11,Agartala,23.8315,91.2868,26.83,15.23,0.0,75.46,NASA_POWER,Tripura,Northeast
2015-02-12,Agartala,23.8315,91.2868,28.51,14.19,0.0,11.65,NASA_POWER,Tripura,Northeast
2015-02-13,Agartala,23.8315,91.2868,28.82,14.16,0.0,20.53,NASA_POWER,Tripura,Northeast
2015-02-14,Agartala,23.8315,91.2868,28.39,13.88,0.0,23.98,NASA_POWER,Tripura,Northeast
2015-02-15,Agartala,23.8315,91.2868,28.73,14.7,0.95,66.37,NASA_POWER,Tripura,Northeast
2015-02-16,Agartala,23.8315,91.2868,30.14,16.13,0.0,32.05,NASA_POWER,Tripura,Northeast
2015-02-17,Agartala,23.8315,91.2868,30.91,15.81,0.0,8.32,NASA_POWER,Tripura,Northeast
2015-02-18,Agartala,23.8315,91.2868,30.74,15.55,0.19,39.03,NASA_POWER,Tripura,Northeast
2015-02-19,Agartala,23.8315,91.2868,27.6,17.0,15.5,64.57,NASA_POWER,Tripura,Northeast
2015-02-20,Agartala,23.8315,91.2868,30.24,16.0,0.13,31.2,NASA_POWER,Tripura,Northeast
2015-02-21,Agartala,23.8315,91.2868,30.84,17.03,0.05,25.47,NASA_POWER,Tripura,Northeast
2015-02-22,Agartala,23.8315,91.2868,29.56,17.7,14.07,31.62,NASA_POWER,Tripura,Northeast
2015-02-23,Agartala,23.8315,91.2868,32.21,17.01,0.0,15.2,NASA_POWER,Tripura,Northeast
2015-02-24,Agartala,23.8315,91.2868,32.75,18.91,0.0,23.57,NASA_POWER,Tripura,Northeast
2015-02-25,Agartala,23.8315,91.2868,32.01,18.73,0.0,33.58,NASA_POWER,Tripura,Northeast
2015-02-26,Agartala,23.8315,91.2868,32.21,18.85,0.0,57.08,NASA_POWER,Tripura,Northeast
2015-02-27,Agartala,23.8315,91.2868,32.82,18.87,0.02,45.33,NASA_POWER,Tripura,Northeast
2015-02-28,Agartala,23.8315,91.2868,33.23,19.1,0.0,48.07,NASA_POWER,Tripura,Northeast
2015-03-01,Agartala,23.8315,91.2868,34.33,20.04,0.0,58.99,NASA_POWER,Tripura,Northeast
2015-03-02,Agartala,23.8315,91.2868,35.17,21.13,0.0,42.86,NASA_POWER,Tripura,Northeast
2015-03-03,Agartala,23.8315,91.2868,32.72,19.33,0.0,60.81,NASA_POWER,Tripura,Northeast
2015-03-04,Agartala,23.8315,91.2868,26.97,18.58,12.02,88.29,NASA_POWER,Tripura,Northeast
2015-03-05,Agartala,23.8315,91.2868,31.44,17.18,0.17,56.9,NASA_POWER,Tripura,Northeast
2015-03-06,Agartala,23.8315,91.2868,30.78,13.85,0.0,9.77,NASA_POWER,Tripura,Northeast
2015-03-07,Agartala,23.8315,91.2868,31.32,13.83,0.0,12.93,NASA_POWER,Tripura,Northeast
2015-03-08,Agartala,23.8315,91.2868,32.59,15.76,0.0,0.3,NASA_POWER,Tripura,Northeast
2015-03-09,Agartala,23.8315,91.2868,34.29,17.44,0.0,5.31,NASA_POWER,Tripura,Northeast
2015-03-10,Agartala,23.8315,91.2868,35.01,17.88,0.0,10.72,NASA_POWER,Tripura,Northeast
2015-03-11,Agartala,23.8315,91.2868,34.32,15.94,0.0,6.11,NASA_POWER,Tripura,Northeast
2015-03-12,Agartala,23.8315,91.2868,34.65,13.72,0.0,18.77,NASA_POWER,Tripura,Northeast
2015-03-13,Agartala,23.8315,91.2868,34.6,15.08,0.0,13.09,NASA_POWER,Tripura,Northeast
2015-03-14,Agartala,23.8315,91.2868,35.85,18.43,0.0,41.48,NASA_POWER,Tripura,Northeast
2015-03-15,Agartala,23.8315,91.2868,36.24,20.69,0.0,46.44,NASA_POWER,Tripura,Northeast
2015-03-16,Agartala,23.8315,91.2868,36.18,20.0,0.0,28.26,NASA_POWER,Tripura,Northeast
2015-03-17,Agartala,23.8315,91.2868,35.56,20.67,0.0,19.2,NASA_POWER,Tripura,Northeast
2015-03-18,Agartala,23.8315,91.2868,35.62,21.01,0.0,41.09,NASA_POWER,Tripura,Northeast
2015-03-19,Agartala,23.8315,91.2868,35.49,22.02,0.0,33.48,NASA_POWER,Tripura,Northeast
2015-03-20,Agartala,23.8315,91.2868,34.86,20.2,0.0,18.16,NASA_POWER,Tripura,Northeast
2015-03-21,Agartala,23.8315,91.2868,36.16,17.69,0.0,33.99,NASA_POWER,Tripura,Northeast
2015-03-22,Agartala,23.8315,91.2868,36.3,20.07,0.0,23.84,NASA_POWER,Tripura,Northeast
2015-03-23,Agartala,23.8315,91.2868,37.31,20.72,0.0,14.24,NASA_POWER,Tripura,Northeast
2015-03-24,Agartala,23.8315,91.2868,37.32,19.93,0.0,22.06,NASA_POWER,Tripura,Northeast
