date,location,tmax,tmin,rainfall_mm,cloud_amt
2024-12-18,Bhubaneswar,25.54,15.01,0.02,86.6
2024-12-18,Puri,24.49,18.08,0.39,95.71
2024-12-18,Tawang,9.65,0.34,0.0,12.33
2024-12-18,Kochi,29.75,25.06,0.0,7.13
2024-12-18,Gangtok,10.38,0.44,0.0,35.94
2024-12-18,Gopalpur,24.74,19.14,0.96,94.56
2024-12-18,Agartala,24.76,16.55,0.07,68.14
2024-12-18,Srinagar,6.77,-2.63,0.0,92.56
2024-12-18,Jaipur,22.77,8.73,0.0,8.02
2024-12-18,Mumbai,30.04,14.39,0.0,19.36
2024-12-18,Similipal,24.75,11.23,0.0,71.25
2024-12-18,Chilika,24.43,22.4,2.77,95.71
2024-12-18,Darjeeling,17.99,9.53,0.0,35.94
2024-12-18,Varanasi,23.72,8.1,0.0,42.82
2024-12-18,Shillong,17.78,7.88,0.0,20.45
2024-12-18,Guwahati,24.46,11.39,0.0,7.88
2024-12-18,Goa,29.54,21.89,0.0,72.36
2024-12-18,Agra,21.18,7.07,0.0,12.86
2024-12-18,Delhi,22.47,7.21,0.0,28.58
2024-12-18,Konark,24.44,20.23,1.26,98.45
2024-12-19,Goa,29.91,24.94,0.0,41.09
2024-12-19,Gopalpur,25.12,19.78,5.85,98.0
2024-12-19,Agra,21.83,6.23,0.0,12.99
2024-12-19,Jaipur,22.59,6.56,0.0,2.37
2024-12-19,Guwahati,23.49,11.78,0.0,6.99
2024-12-19,Puri,24.91,18.77,1.58,98.55
2024-12-19,Bhubaneswar,24.86,15.86,0.1,94.43
2024-12-19,Similipal,24.13,10.92,0.0,80.22
2024-12-19,Tawang,10.06,-1.14,0.0,16.88
2024-12-19,Darjeeling,18.09,9.85,0.0,41.81
2024-12-19,Shillong,18.62,9.01,0.0,23.46
2024-12-19,Gangtok,10.12,0.27,0.0,41.81
2024-12-19,Varanasi,23.66,9.25,0.0,33.79
2024-12-19,Konark,25.23,21.04,1.69,95.02
2024-12-19,Srinagar,8.25,-2.0,0.0,27.5
2024-12-19,Kochi,30.32,24.39,0.0,31.77
2024-12-19,Agartala,24.66,13.99,0.0,60.48
2024-12-19,Delhi,21.23,7.57,0.0,14.5
2024-12-19,Chilika,25.56,22.96,7.37,98.55
2024-12-19,Mumbai,30.33,14.88,0.0,13.38
2024-12-20,Srinagar,7.83,-3.23,0.0,23.4
2024-12-20,Gopalpur,25.22,19.69,24.12,99.09
2024-12-20,Tawang,9.54,-0.78,0.0,48.26
2024-12-20,Guwahati,22.7,11.05,0.0,49.81
2024-12-20,Shillong,18.07,7.08,0.0,80.67
2024-12-20,Bhubaneswar,25.07,16.44,8.8,99.54
2024-12-20,Chilika,25.62,22.85,27.47,99.46
2024-12-20,Puri,25.23,18.91,14.23,99.46
2024-12-20,Kochi,29.85,25.11,0.0,37.3
2024-12-20,Similipal,24.41,12.6,1.81,99.19
2024-12-20,Darjeeling,17.41,9.23,0.0,50.25
2024-12-20,Mumbai,28.27,17.3,0.0,28.24
2024-12-20,Jaipur,21.45,7.48,0.0,2.18
2024-12-20,Goa,29.49,23.8,0.0,95.91
2024-12-20,Agartala,23.55,12.78,0.0,83.54
2024-12-20,Delhi,23.43,8.1,0.0,1.19
2024-12-20,Konark,25.52,20.97,13.67,99.69
2024-12-20,Gangtok,8.57,-0.91,0.0,50.25
2024-12-20,Agra,21.57,6.65,0.0,1.25
2024-12-20,Varanasi,24.82,9.84,0.0,8.3
2024-12-21,Agartala,23.62,12.69,0.01,94.87
2024-12-21,Gangtok,5.7,-2.2,1.04,47.95
2024-12-21,Agra,23.67,8.07,0.0,0.78
2024-12-21,Bhubaneswar,21.04,16.2,31.42,91.78
2024-12-21,Gopalpur,23.36,18.79,30.95,93.89
2024-12-21,Chilika,24.0,21.11,36.9,97.03
2024-12-21,Darjeeling,16.45,8.4,0.4,47.95
2024-12-21,Goa,27.97,23.52,0.0,44.77
2024-12-21,Delhi,23.69,7.23,0.0,1.1
2024-12-21,Guwahati,22.9,11.05,0.0,19.08
2024-12-21,Tawang,7.08,-3.43,0.0,63.99
2024-12-21,Jaipur,23.05,7.61,0.0,1.67
2024-12-21,Puri,22.55,18.0,35.52,97.03
2024-12-21,Similipal,19.46,15.72,9.0,89.95
2024-12-21,Srinagar,7.74,-3.05,0.0,56.85
2024-12-21,Kochi,29.46,25.04,0.02,39.19
2024-12-21,Varanasi,23.32,10.63,0.0,15.5
2024-12-21,Shillong,18.24,8.02,0.0,50.19
2024-12-21,Konark,23.36,19.69,33.4,98.76
2024-12-21,Mumbai,28.53,16.3,0.0,15.93
2024-12-22,Gangtok,6.87,-5.39,0.25,57.39
2024-12-22,Similipal,24.35,12.46,0.05,35.5
2024-12-22,Agra,23.56,9.51,0.0,16.13
2024-12-22,Agartala,23.12,11.36,0.05,20.31
2024-12-22,Chilika,24.57,21.54,17.16,74.09
2024-12-22,Konark,24.95,20.15,5.1,92.33
2024-12-22,Jaipur,22.91,7.29,0.0,17.91
2024-12-22,Tawang,6.43,-4.18,0.24,53.96
2024-12-22,Goa,27.36,24.0,0.0,22.96
2024-12-22,Delhi,23.64,11.08,0.0,29.99
2024-12-22,Puri,24.83,17.34,4.41,74.09
2024-12-22,Mumbai,27.7,17.98,0.02,39.54
2024-12-22,Kochi,29.36,25.37,0.04,36.33
2024-12-22,Bhubaneswar,25.0,14.67,0.37,50.8
2024-12-22,Shillong,17.25,5.78,0.0,8.77
2024-12-22,Varanasi,24.67,9.31,0.0,11.85
2024-12-22,Srinagar,6.14,-0.56,0.0,98.81
2024-12-22,Gopalpur,24.42,18.02,8.32,55.73
2024-12-22,Darjeeling,16.51,8.7,0.1,57.39
2024-12-22,Guwahati,20.93,9.7,0.01,28.91
2024-12-23,Srinagar,3.19,-2.38,0.05,78.2
2024-12-23,Kochi,28.81,24.93,0.04,3.97
2024-12-23,Mumbai,26.76,19.2,0.01,40.26
2024-12-23,Gopalpur,24.8,18.56,2.52,84.9
2024-12-23,Agra,21.94,7.55,0.15,63.8
2024-12-23,Agartala,23.56,11.18,0.0,6.22
2024-12-23,Konark,25.3,20.05,0.47,91.98
2024-12-23,Tawang,8.3,-1.71,0.01,30.49
2024-12-23,Similipal,24.19,12.19,0.0,20.87
2024-12-23,Bhubaneswar,24.82,14.75,0.14,61.54
2024-12-23,Delhi,19.98,7.32,0.1,73.73
2024-12-23,Darjeeling,16.71,8.54,0.0,50.18
2024-12-23,Guwahati,22.52,8.66,0.01,8.44
2024-12-23,Gangtok,7.22,-1.36,0.0,50.18
2024-12-23,Varanasi,25.56,11.34,0.0,15.21
2024-12-23,Goa,26.87,23.81,0.0,34.6
2024-12-23,Puri,24.89,17.45,0.68,95.48
2024-12-23,Shillong,18.93,6.07,0.0,4.47
2024-12-23,Jaipur,20.65,10.08,0.17,53.47
2024-12-23,Chilika,25.29,21.79,2.15,95.48
2024-12-24,Agartala,23.86,11.7,0.0,15.96
2024-12-24,Konark,22.35,20.15,2.06,97.02
2024-12-24,Bhubaneswar,20.74,16.37,9.15,96.61
2024-12-24,Goa,28.86,23.25,0.0,14.12
2024-12-24,Delhi,21.41,9.94,0.17,64.46
2024-12-24,Similipal,22.77,13.56,0.59,92.19
2024-12-24,Srinagar,4.9,-5.83,0.01,23.45
2024-12-24,Varanasi,27.07,12.31,0.0,56.83
2024-12-24,Jaipur,21.2,9.4,0.01,19.78
2024-12-24,Puri,21.28,18.39,7.89,97.27
2024-12-24,Agra,20.82,12.23,0.14,48.62
2024-12-24,Shillong,17.35,7.56,0.0,5.4
2024-12-24,Gopalpur,21.71,18.9,10.3,97.21
2024-12-24,Kochi,28.59,24.54,0.0,8.59
2024-12-24,Darjeeling,16.95,8.4,0.0,47.83
2024-12-24,Guwahati,22.05,9.25,0.0,5.79
2024-12-24,Gangtok,6.74,-1.64,0.0,47.83
2024-12-24,Mumbai,28.14,17.49,0.0,32.04
2024-12-24,Chilika,23.02,21.41,4.66,97.27
2024-12-24,Tawang,8.23,-0.71,0.0,18.25
2024-12-25,Agartala,23.0,13.19,0.0,87.04
2024-12-25,Similipal,23.95,16.74,1.29,98.35
2024-12-25,Darjeeling,16.6,9.07,0.0,57.26
2024-12-25,Mumbai,29.54,16.75,0.0,21.19
2024-12-25,Varanasi,21.2,14.92,0.02,76.1
2024-12-25,Gangtok,5.86,-2.35,0.0,57.26
2024-12-25,Jaipur,22.13,9.34,0.0,4.15
2024-12-25,Konark,24.02,20.23,0.08,95.08
2024-12-25,Delhi,23.42,9.09,0.03,12.2
2024-12-25,Agra,23.8,11.57,0.03,30.43
2024-12-25,Bhubaneswar,23.6,16.97,1.42,98.99
2024-12-25,Kochi,29.32,24.1,0.0,14.21
2024-12-25,Chilika,24.32,22.05,1.72,98.52
2024-12-25,Tawang,6.7,-2.79,0.0,58.19
2024-12-25,Puri,23.9,18.63,1.23,98.52
2024-12-25,Goa,29.29,23.5,0.0,19.93
2024-12-25,Srinagar,7.63,-4.64,0.0,25.22
2024-12-25,Shillong,18.49,8.3,0.0,3.72
2024-12-25,Gopalpur,23.77,19.42,7.07,98.12
2024-12-25,Guwahati,21.44,9.9,0.0,6.69
2024-12-26,Bhubaneswar,25.88,15.9,11.76,50.23
2024-12-26,Varanasi,26.26,14.74,0.0,13.41
2024-12-26,Puri,25.62,17.67,7.93,41.08
2024-12-26,Chilika,25.33,21.44,1.88,41.08
2024-12-26,Shillong,19.11,7.53,0.0,2.34
2024-12-26,Similipal,25.07,15.03,0.94,40.5
2024-12-26,Mumbai,29.44,17.84,0.0,26.83
2024-12-26,Delhi,24.34,8.49,0.06,28.6
2024-12-26,Agartala,24.23,12.6,0.0,33.02
2024-12-26,Tawang,7.78,-2.57,0.0,52.42
2024-12-26,Srinagar,8.48,-3.94,0.0,22.25
2024-12-26,Gangtok,8.2,-2.18,0.0,48.78
2024-12-26,Kochi,29.67,24.6,0.09,9.73
2024-12-26,Jaipur,22.91,8.8,0.91,62.38
2024-12-26,Agra,25.07,9.78,0.01,12.68
2024-12-26,Guwahati,22.83,9.68,0.0,7.54
2024-12-26,Konark,25.38,19.26,2.08,31.3
2024-12-26,Gopalpur,25.29,18.59,2.56,75.93
2024-12-26,Darjeeling,16.75,9.24,0.0,48.78
2024-12-26,Goa,29.84,24.28,0.0,20.83
2024-12-27,Guwahati,22.37,9.8,0.0,6.41
2024-12-27,Shillong,18.95,7.59,0.0,1.75
